i,n,m,k,num_threads,multiplier,iterations,time_us,stddev_us
259,1000,10,10,4,DefaultMultiplierIJKTransposeCached,4,102.750000,2.277608
260,1000,10,10,16,DefaultMultiplierIJK,4,277.000000,112.247498
261,1000,10,10,16,DefaultMultiplierIJKCached,4,170.250000,26.901440
262,1000,10,10,16,DefaultMultiplierJIK,4,215.750000,4.656984
263,1000,10,10,16,Collapse2Multiplier,4,181.500000,40.623268
264,1000,10,10,16,Collapse3Multiplier,4,224.000000,38.170670
265,1000,10,10,16,DefaultMultiplierIJKTranspose,4,154.000000,41.176449
266,1000,10,10,16,DefaultMultiplierIJKTransposeCached,4,119.000000,8.774964
267,1000,10,100,4,DefaultMultiplierIJK,4,1459.500000,28.587585
268,1000,10,100,4,DefaultMultiplierIJKCached,4,1042.750000,78.671783
269,1000,10,100,4,DefaultMultiplierJIK,4,1596.750000,30.211752
270,1000,10,100,4,Collapse2Multiplier,4,1014.500000,21.696774
271,1000,10,100,4,Collapse3Multiplier,4,1420.750000,1.322876
272,1000,10,100,4,DefaultMultiplierIJKTranspose,4,1480.250000,28.013390
273,1000,10,100,4,DefaultMultiplierIJKTransposeCached,4,1076.250000,14.396180
274,1000,10,100,16,DefaultMultiplierIJK,4,1166.250000,203.350067
275,1000,10,100,16,DefaultMultiplierIJKCached,4,765.250000,48.489044
276,1000,10,100,16,DefaultMultiplierJIK,4,1201.250000,99.313896
277,1000,10,100,16,Collapse2Multiplier,4,789.500000,48.189728
278,1000,10,100,16,Collapse3Multiplier,4,1021.250000,9.730750
279,1000,10,100,16,DefaultMultiplierIJKTranspose,4,1115.000000,80.576050
280,1000,10,100,16,DefaultMultiplierIJKTransposeCached,4,747.000000,40.700123
281,1000,10,1000,4,DefaultMultiplierIJK,4,17095.000000,91.038452
282,1000,10,1000,4,DefaultMultiplierIJKCached,4,11583.500000,36.110939
283,1000,10,1000,4,DefaultMultiplierJIK,4,18644.000000,683.847961
284,1000,10,1000,4,Collapse2Multiplier,4,11439.000000,89.084229
285,1000,10,1000,4,Collapse3Multiplier,4,16680.250000,57.410801
286,1000,10,1000,4,DefaultMultiplierIJKTranspose,4,16851.500000,391.836700
287,1000,10,1000,4,DefaultMultiplierIJKTransposeCached,4,12149.500000,299.653137
288,1000,10,1000,16,DefaultMultiplierIJK,4,11037.500000,1108.757812
289,1000,10,1000,16,DefaultMultiplierIJKCached,4,6919.250000,509.792114
290,1000,10,1000,16,DefaultMultiplierJIK,4,11289.500000,904.110596
291,1000,10,1000,16,Collapse2Multiplier,4,7972.000000,202.445053
292,1000,10,1000,16,Collapse3Multiplier,4,11090.250000,659.296570
293,1000,10,1000,16,DefaultMultiplierIJKTranspose,4,9771.500000,234.725372
294,1000,10,1000,16,DefaultMultiplierIJKTransposeCached,4,6951.500000,379.383698
295,1000,100,10,4,DefaultMultiplierIJK,4,1813.750000,71.657173
296,1000,100,10,4,DefaultMultiplierIJKCached,4,1394.250000,78.706734
